"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
a,a,アルファベットのa. ひとつの. 1人の. 例示時(NATO phonetic alphabetという. 以下zまで同) A as Alpha. 
AA,単3電池 ,単3電池 
AAA,単4電池,単4電池  2. AAA(Aromatic Amino Acid 芳香族アミノ酸-芳香族基を持つアミノ酸)
AAC,AAC,Advanced Audio Coding. 音声圧縮の方式
Aaron,アーロン,アロン. Mosesの兄. ユダヤ教最初の祭司長(聖書)
AB,AB,Antibody(抗体). abdomenの略(おなか). artium baccalaureus(文学士). Abscess(膿瘍). Anheuser‐Busch(アンハイザー･ブッシュ ビール会社)
aback,後ろに,後ろに
abacus,そろばん,そろばん
abalone,アワビ,アワビ
abandon,捨てる,を捨てる. 放棄する. give up. desert
abandonment,放棄,放棄
abasic,無塩基,脱塩基 
abate,弱まる,の勢いを減らす. 和らげる. やわらぐ. おさまる
abattoir,食肉処理場,食肉処理場
abbess,女子修道院長,尼僧院長. 修道女の長
abbey,修道院,修道院. 僧院
abbot,修道院長,修道院長
abbreviate,短縮する,短くする. 省略する. 短縮する
abbreviated,略された,省略された 
abbreviation,略語,略語. 省略. 短縮
ABC,ABC,Atomic Biological Bacteriological & Chemical(ABC兵器). 2. ABC朝日放送
abdicate,放棄する,を捨てる. (正式に)放棄する. 退位する
abdication,退位,退位. (権利などの)放棄
abdomen,腹部,腹部. 腹
abdominal,腹部,腹部. 腹部の
abduct,誘拐する,誘拐する
abducted,拉致,誘拐された 
abduction,拉致,誘拐. 拉致
Abdul,アブドゥル,アブドゥル (人名)
abed,就床して,就床して
Abel,アベル,アベル(AdamとEveの第2子. 兄Cainに殺された)(聖書)
Abercrombie,アバークロンビー,Abercrombie＆Fitch アーバークロンビー. (ファッションブランド)
Aberdeen,アバディーン,"アバディーン. エディンバラ,グラスゴーに次ぐスコットランド第3の港湾都市 "
aberrant,常軌を逸した,正道をはずれた. 常軌を逸した. 異常な
aberration,収差,狂い. 脱線(行為). 異常. 精神異常. (光の)収差
abet,唆す,扇動. 扇動する. (悪事)をけしかける. 教唆する
abhor,忌み嫌う,ひどく嫌う. ぞっとするほど嫌う. 拒否する
abhorrence,嫌悪,嫌悪の情
abhorrent,忌まわしい　,嫌悪すべき. 大嫌いな
abide,守る,がまんする. とどまる. 待つ. 従う. 住む. 規則を守る 
abigail,アビゲイル,腰元. 侍女
Abilene,アビリーン,アビリーン. テキサス州の都市名 
ability,能力,能力. 腕力. 才能
abiotic,非生物,非生物 
abject,情けない,無気力の. 悲惨な. 情けない. 卑屈な
abjure,捨てる,宣誓して捨てる
ABL,ABL,"Airborne Laser(エアボーンレーザー,空中発射レーザー)"
ablate,切除する,除去する
ablated,アブレーション,切除された
ablation,アブレーション,＜ablate. 切除
ablative,アブレーション,"奪格. 名詞の格の一つで,主に起点･分離(～から)を示す"
ablaze,輝いている,燃え立った. 燃え立って. 輝いて. 興奮して
able,できる,能力のある. ～できる
ably,巧みに,りっぱに. 巧みに
ABM,ABM,anti-ballistic missile. 弾道弾迎撃ミサイル
abnormal,異常な,異常な
abnormality,異常,普通でないこと･もの. 異常. 奇形. (体の)変調. 障害
abnormally,異常に,異常に 
aboard,乗って,(船･バスなど)に乗って. 搭乗して. on board
abolish,廃止する,(法律･制度など)を廃止する
abolition,廃止,廃止. 全廃
abolitionist,廃止論者,廃止論者
abominable,忌まわしい　,忌まわしい. 言語道断な. 実に不快な. 全くひどい
abomination,醜態,嫌悪. 憎悪
Aboriginal,先住民,"オーストラリアの原住民(Aborigine)の, 土着の"
Aborigine,アボリジニ,アボリジニ(オーストラリアの原住民). 4万年以上前にアジアから移住したとされる. (形. Aboriginal)
abort,中止,流産する. 頓挫する. むだに終わる
aborted,アボート,中絶された
abortion,中絶,人工中絶. 堕胎. 流産. 早産. (器官の)発育不全
abortionist,堕胎医,人工中絶賛成者
abortive,失敗に終わった,失敗に終わった. 失敗に終わる. 実を結ばない. むなしい
abortus,流産児,流産児 
abound,たくさんある,沢山いる. たくさんいる. 多い. 富む
about,約,約. について
above,の上に,の上に. 超越して
Abraham,アブラハム,アブラハム(ユダヤ人の先祖)(聖書)
abrasion,摩耗,すりへり
abrasive,研磨剤,すり減らす. 研磨剤. 研磨の. 不快な
abreast,横に並んで,並んで. 並行して
abridge,削減する,要約する. 短縮する. 縮小する. 削減する. 弱める. 要約
abroad,海外で,外国で. 外国へ
abrogate,廃止する,(法律などを)廃止する. 捨てる
abrogated,廃止,廃止の 
abrogation,廃止,＜abrogate. (法律などの)廃止. 破棄
abrupt,突然の,不意の. 険しい. 突然の
abruptly,突然,突然に
ABS,ABS,"ABS. (anti-lock brake system). 自動車が急ブレーキをかけたとき,ロックを起こした車輪のブレーキの油圧を調節し,安全に止まれるようにした装置"
abscess,膿瘍,"膿瘍(のうよう). 生体組織内に,崩壊した好中球由来の分解酵素で化膿性炎症が生じ,膿を持った空洞ができた状態"
absence,不在,留守. 欠席. 欠乏
absent,欠席,ぼんやりした. 不在で. を欠席する
absentee,不在者,欠席者. 不在者
absenteeism,常習的欠勤,長期欠勤. 無断欠勤. 常習的欠席
absently,ぼんやり,うっかりして. ぼんやりと
absinthe,アブサン,アブサン. ニガヨモギ風味の強いリキュール
absolute,絶対的な,絶対の. 確実な. 絶対的な
absolutely,絶対に,絶対的に. 完全に
absolution,赦免,(法律)免除. 無罪. 放免. 釈放. 免罪. (キリスト教)absolution from (of) sins 罪の赦免. 
absolutism,絶対主義,専制政治
absolutist,絶対主義者,絶対主義者 
absolve,免除する,免除する. 解除する. に無罪を申し渡す
absorb,吸収する,を吸収する
absorbance,吸光度,吸光度 
absorbent,吸収剤,吸収できる
absorber,吸収体,吸収物. 緩衝物
absorption,吸収,吸収. 吸着. 吸着量
abstain,棄権する,慎む. 控える. 絶つ. やめる. 禁酒する
abstention,棄権,節制すること. 回避. 棄権. 慎むこと. 不参加. 不干渉
abstinence,禁欲,禁欲. 断つこと. 節制. 禁酒
abstinent,禁欲,節度のある. 禁欲的な. 禁酒の
abstract,抽象,理論的な. 抽出する. 抽象的な. 難解な
abstracted,抽象化された,ぼんやりした
abstraction,抽象化,抽象作用. 抽象
abstruse,難解な,難解な. 難しい. 深遠な
absurd,ばかげた,ばからしい. 不合理な. ばかげた
absurdist,不条理主義の,不条理主義の. 不条理主義者(作家)
absurdity,不条理,不合理. 不条理
absurdly,ばかばかしいほど,不条理に. ばかげて
abundance,豊富,豊富さ. affluent. 豊富な. 多数. 多量. 発生量
abundant,豊富な,豊富な
abundantly,豊富に,豊富に
abuse,虐待,の悪口を言う. 濫用(する). 悪用(する). 虐待(する)
abuser,虐待者,乱用者 
abusive,虐待的な,悪用された. 口汚くののしって
abut,隣接する,(建物など)が隣接する. 境を接する. 接触する. 沿う
abuzz,騒然と,ざわめき立って
abysmal,ひどい　,底知れぬ
abyss,深淵,深い淵. 深淵. 底知れない穴. 地獄. 底無し地獄
AC,AC,alternating current. 交流. (cf. direct current DC. 直流)
acacia,アカシア,アカシア
academe,学界,大学(学究)生活. 学界. 教育の場(特に大学)
academia,アカデミー,学界 
academic,アカデミック,純粋学問の. 学問上の. 大学の. 学究的な
academically,学究的に,学究的に 
academician,アカデミー会員,アカデミー会員. 学士院会員
academy,アカデミー,専門学校. 学士院
Acadian,アカディア人,"アカディア人. 18世紀まで現メイン州付近にフランス人が入植し,今も独自文化･国旗を維持. 一部はルイジアナのアケイディアナに定住,「Cajun,ケイジャン」の祖となる"
acanthus,アカンサス,アカンサス. ハアザミの類. (柱頭の)アカンサス葉飾り
Acapulco,アカプルコ,アカプルコ. メキシコの太平洋岸にある著名なリゾート都市
accede,同意する,同意する. (職など)に就く. 加盟する. 後を継ぐ
accelerate,加速する,の速度を速める. 加速する. 速める. 促進する. 増進する
acceleration,加速,加速. 促進
accelerator,アクセラレータ,(車の)アクセル
accent,アクセント,アクセント. 口調. なまり
accentuate,際立たせる,目立たせる. を強調する
accentuated,強調,強調された
accept,受け入れる,受け入れる
acceptability,受容性,受容性
acceptable,許容可能な,容認できる
acceptance,受け入れ,受け入れ. 容認. 支持
accepted,一般に認められた,一般に認められた 
acceptor,アクセプタ,認められたもの
access,アクセス,アクセスする. 交通の便. 接近. 面接. 発作. 
accessed,アクセス,アクセスした 
accessibility,接近性,接近可能性
accessible,アクセス可能な,近づきやすい. 接近し易い
accession,加盟,追加. 就任. 増加. 到達. 即位. 相続. 取得
accessory,アクセサリー,アクセサリー. 部品. 付属物. 装身具. 補助的な. 付属的な
accident,事故,天災. 偶然. 事故. 災難
accidental,不慮,偶然の
accidentally,誤って,偶然に. たまたま. ひょっこり
acclaim,称賛,に喝采する. 大声で言う. 歓呼
acclaimed,著名,著名 
acclamation,歓呼,喝采
acclimate,順化,(人･ものを風土･環境などに)慣らす. 順応させる
acclimated,順応された ,順応された 
acclimation,順化,順化 
acclimatize,順応させる,順応させる
accolade,栄誉,絶賛. 栄誉. ナイト爵位授与の儀式
accommodate,受け入れる,便宜を計る. 親切にする. に金を融通する. 供給する. 適応させる. 和解させる
accommodation,宿泊施設,適応. 和解. 便宜. 順応. 宿泊施設. 好意
accompaniment,伴奏,伴うもの. 随伴物
accompany,同行する,に同伴する. おともする. に付随する
accomplice,共犯,共犯者
accomplish,達成する,を成し遂げる. 完成する. 成就する. 実行する
accomplished,達成された,完成した. その道に秀でた. 熟練した. 教養のある
accomplishment,達成,達成. 完成. 才能
accord,調和,調和(する). 協定. 合意(する). 一致. 与える. agreement
accordance,一致,一致. 授与
according,従って,一致して. 従って
accordingly,それに応じて,それゆえ. というわけで
accordion,アコーディオン,アコーディオン
